Gender,Partner,Dependents,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Churn
Male,Yes,Yes,0,9,99.02,795.1239954241559,1
Female,Yes,No,1,25,91.77,3004.545991293432,0
Male,No,No,0,71,66.76,4969.47789772196,0
Male,No,No,0,69,88.53,6843.776101379057,0
Male,No,No,0,45,92.91,4066.998253460875,0
Female,Yes,No,0,63,80.76,6567.7121373522405,0
Male,Yes,No,0,54,91.47,5365.750143832175,0
Male,Yes,Yes,0,46,116.98,4274.29852541279,0
Male,Yes,No,0,28,61.13,2391.721771805944,1
Female,Yes,No,0,5,88.76,438.504016896154,0
Male,No,Yes,0,42,81.45,3300.465094484259,0
Male,No,No,1,45,64.08,3141.2424093770906,0
Male,No,No,0,10,63.04,75.36220448488905,0
Male,Yes,Yes,0,8,112.8,976.1304733085792,0
Female,Yes,Yes,0,15,85.61,2025.8630141496524,0
Male,No,No,1,55,73.45,4315.406106729169,0
Female,No,No,0,47,56.73,3148.279833999162,0
Female,No,No,0,66,103.85,7591.988882656757,1
Female,No,Yes,1,38,23.25,1079.0488927516958,0
Male,No,No,0,38,74.02,3068.208461974323,0
Female,Yes,No,0,69,53.87,3386.0312116996242,1
Male,Yes,Yes,0,22,65.52,1117.018388171288,0
Female,No,No,0,39,25.14,1387.3006489390873,0
Female,Yes,No,0,67,93.41,5975.8626616401225,0
Female,Yes,No,1,54,99.51,5532.6243473005,1
Female,Yes,No,0,57,64.32,3635.493644328776,0
Female,Yes,Yes,0,15,54.97,452.21020185419644,0
Female,No,No,0,49,18.0,639.2515359441055,0
Female,Yes,No,0,40,63.47,2870.2435652308845,0
Female,Yes,No,0,38,87.21,3374.7119864431384,1
Male,No,No,0,48,80.3,4245.2011332820975,0
Male,No,No,0,58,89.6,5994.01919802918,0
Female,No,No,0,52,101.58,5442.657312524769,0
Female,No,Yes,0,51,56.04,2458.7884738350817,1
Female,No,No,0,69,64.85,4086.2419080084615,0
Male,No,No,0,37,36.82,1193.113468439781,1
Female,Yes,No,0,25,86.12,2652.605104542805,0
Male,Yes,No,0,71,64.02,5052.9849357843505,0
Male,No,No,0,21,108.41,2180.2269779217204,0
Male,No,Yes,0,26,76.79,2333.1013108002335,0
Male,No,No,1,5,119.49,814.6914843560913,0
Male,No,No,0,5,51.68,0.0,1
Female,No,No,1,55,87.11,4836.059637529956,0
Female,Yes,No,0,68,83.43,5362.247555978448,0
Female,Yes,No,0,35,69.07,2352.2861270281774,0
Female,Yes,No,0,36,37.67,1874.9021915488725,0
Female,Yes,No,1,39,58.16,3207.2048532163194,0
Male,Yes,Yes,1,47,48.73,2076.7006889724166,0
Female,Yes,No,0,17,22.74,448.07260240558816,0
Female,No,Yes,0,67,85.32,5731.118350718072,0
Male,No,No,0,19,56.28,970.402327850858,0
Female,No,No,1,20,86.28,1625.0406608667668,0
Male,Yes,No,0,20,69.67,1216.229785366837,0
Female,Yes,No,0,27,99.26,3313.930441261532,0
Male,No,No,0,23,56.49,2396.602814428019,0
Female,Yes,No,0,63,73.32,4455.201847552962,0
Female,No,Yes,0,6,44.44,312.46499260984467,1
Male,Yes,No,0,34,55.48,1267.2298901366757,0
Male,No,No,1,48,99.5,4998.034141803252,0
Male,Yes,Yes,0,54,86.02,4930.898213619598,0
Male,Yes,No,0,50,79.48,4129.913378487302,0
Male,Yes,No,0,8,41.89,346.30431434549007,1
Male,No,No,0,65,78.54,6177.511455615111,0
Male,Yes,Yes,0,59,48.05,2027.87893495329,1
Male,No,No,0,72,73.06,5414.148338152846,1
Female,Yes,No,0,32,66.59,2420.379810238885,0
Female,Yes,No,0,6,97.26,507.8542866707752,0
